state,d_month,year,month_only,month,totals,handguns_total,long_guns_total,other_total
Vermont,2014-05-01,2014,05,2014-05,2100,978,1016,106
Virgin Islands,2014-05-01,2014,05,2014-05,94,8,3,83
Virginia,2014-05-01,2014,05,2014-05,27385,15597,11102,686
Washington,2014-05-01,2014,05,2014-05,37636,13731,9624,14281
West Virginia,2014-05-01,2014,05,2014-05,14682,6624,6562,1496
Wisconsin,2014-05-01,2014,05,2014-05,22493,9389,8477,4627
Wyoming,2014-05-01,2014,05,2014-05,5187,1876,2199,1112
Alabama,2014-04-01,2014,04,2014-04,46332,15707,11922,18703
Alaska,2014-04-01,2014,04,2014-04,8305,3505,4005,795
Arizona,2014-04-01,2014,04,2014-04,25939,11482,7468,6989
Arkansas,2014-04-01,2014,04,2014-04,16546,5303,6284,4959
California,2014-04-01,2014,04,2014-04,134448,41389,30137,62922
Colorado,2014-04-01,2014,04,2014-04,34615,14890,11742,7983
Connecticut,2014-04-01,2014,04,2014-04,20715,4886,2714,13115
Delaware,2014-04-01,2014,04,2014-04,2822,1450,959,413
District of Columbia,2014-04-01,2014,04,2014-04,36,29,5,2
Florida,2014-04-01,2014,04,2014-04,94323,39156,20143,35024
Georgia,2014-04-01,2014,04,2014-04,36533,12283,8389,15861
Guam,2014-04-01,2014,04,2014-04,209,107,64,38
Hawaii,2014-04-01,2014,04,2014-04,1597,0,0,1597
Idaho,2014-04-01,2014,04,2014-04,10422,2836,4010,3576
Illinois,2014-04-01,2014,04,2014-04,105924,21131,11333,73460
Indiana,2014-04-01,2014,04,2014-04,42399,16966,11724,13709
Iowa,2014-04-01,2014,04,2014-04,10404,185,2451,7768
Kansas,2014-04-01,2014,04,2014-04,13161,5362,5219,2580
Kentucky,2014-04-01,2014,04,2014-04,274155,8959,8807,256389
Louisiana,2014-04-01,2014,04,2014-04,19656,10514,8167,975
Maine,2014-04-01,2014,04,2014-04,6890,3117,3505,268
Mariana Islands,2014-04-01,2014,04,2014-04,2,0,2,0
Maryland,2014-04-01,2014,04,2014-04,10548,4126,4553,1869
Massachusetts,2014-04-01,2014,04,2014-04,16097,5279,2793,8025
Michigan,2014-04-01,2014,04,2014-04,36618,10205,9303,17110
Minnesota,2014-04-01,2014,04,2014-04,46067,9802,11919,24346
Mississippi,2014-04-01,2014,04,2014-04,13044,6467,5325,1252
Missouri,2014-04-01,2014,04,2014-04,38283,17286,14397,6600
Montana,2014-04-01,2014,04,2014-04,10056,3320,5067,1669
Nebraska,2014-04-01,2014,04,2014-04,5240,116,1612,3512
Nevada,2014-04-01,2014,04,2014-04,9819,4276,3116,2427
New Hampshire,2014-04-01,2014,04,2014-04,11592,4324,3136,4132
New Jersey,2014-04-01,2014,04,2014-04,8472,5108,3208,156
New Mexico,2014-04-01,2014,04,2014-04,10620,5127,4281,1212
New York,2014-04-01,2014,04,2014-04,43433,8969,14331,20133
North Carolina,2014-04-01,2014,04,2014-04,59495,2460,12292,44743
North Dakota,2014-04-01,2014,04,2014-04,6330,1998,3283,1049
Ohio,2014-04-01,2014,04,2014-04,48767,27274,19094,2399
Oklahoma,2014-04-01,2014,04,2014-04,26310,13481,11210,1619
Oregon,2014-04-01,2014,04,2014-04,19475,10106,9347,22
Pennsylvania,2014-04-01,2014,04,2014-04,74553,44547,7943,22063
Puerto Rico,2014-04-01,2014,04,2014-04,1221,980,188,53
Rhode Island,2014-04-01,2014,04,2014-04,1667,854,669,144
South Carolina,2014-04-01,2014,04,2014-04,21621,8712,5608,7301
South Dakota,2014-04-01,2014,04,2014-04,6054,2308,3471,275
Tennessee,2014-04-01,2014,04,2014-04,36861,16972,11316,8573
Texas,2014-04-01,2014,04,2014-04,101103,43723,34670,22710
Utah,2014-04-01,2014,04,2014-04,29587,2771,3423,23393
Vermont,2014-04-01,2014,04,2014-04,3114,1485,1528,101
Virgin Islands,2014-04-01,2014,04,2014-04,103,26,0,77
Virginia,2014-04-01,2014,04,2014-04,31037,17184,13113,740
Washington,2014-04-01,2014,04,2014-04,46446,15077,11028,20341
West Virginia,2014-04-01,2014,04,2014-04,16702,7238,7696,1768
Wisconsin,2014-04-01,2014,04,2014-04,32375,12866,13016,6493
Wyoming,2014-04-01,2014,04,2014-04,5508,2170,2532,806
Alabama,2014-03-01,2014,03,2014-03,57656,19233,15112,23311
Alaska,2014-03-01,2014,03,2014-03,7271,3072,3550,649
Arizona,2014-03-01,2014,03,2014-03,28307,14227,9149,4931
Arkansas,2014-03-01,2014,03,2014-03,20173,6914,7709,5550
California,2014-03-01,2014,03,2014-03,137660,45709,34878,57073
Colorado,2014-03-01,2014,03,2014-03,38547,18479,13656,6412
Connecticut,2014-03-01,2014,03,2014-03,36553,6563,12310,17680
Delaware,2014-03-01,2014,03,2014-03,3534,1813,1227,494
District of Columbia,2014-03-01,2014,03,2014-03,48,45,3,0
Florida,2014-03-01,2014,03,2014-03,104835,44637,24206,35992
Georgia,2014-03-01,2014,03,2014-03,45841,16793,12068,16980
Guam,2014-03-01,2014,03,2014-03,205,105,77,23
Hawaii,2014-03-01,2014,03,2014-03,1333,0,0,1333
Idaho,2014-03-01,2014,03,2014-03,14322,3479,4988,5855
Illinois,2014-03-01,2014,03,2014-03,145597,26638,15182,103777
Indiana,2014-03-01,2014,03,2014-03,52880,23033,15617,14230
Iowa,2014-03-01,2014,03,2014-03,13686,239,3670,9777
Kansas,2014-03-01,2014,03,2014-03,16410,6683,6571,3156
Kentucky,2014-03-01,2014,03,2014-03,280948,11960,10940,258048
Louisiana,2014-03-01,2014,03,2014-03,25477,13128,11204,1145
Maine,2014-03-01,2014,03,2014-03,7591,3577,3711,303
Mariana Islands,2014-03-01,2014,03,2014-03,0,0,0,0
Maryland,2014-03-01,2014,03,2014-03,17071,8259,5886,2926
Massachusetts,2014-03-01,2014,03,2014-03,20176,6796,3609,9771
Michigan,2014-03-01,2014,03,2014-03,42636,13140,11908,17588
Minnesota,2014-03-01,2014,03,2014-03,50582,10813,13004,26765
Mississippi,2014-03-01,2014,03,2014-03,17334,8610,7470,1254
Missouri,2014-03-01,2014,03,2014-03,46051,21643,17397,7011
Montana,2014-03-01,2014,03,2014-03,11045,3777,5631,1637
Nebraska,2014-03-01,2014,03,2014-03,6437,124,2155,4158
Nevada,2014-03-01,2014,03,2014-03,11769,5034,3695,3040
New Hampshire,2014-03-01,2014,03,2014-03,12519,5060,3704,3755
New Jersey,2014-03-01,2014,03,2014-03,9726,5487,4034,205
New Mexico,2014-03-01,2014,03,2014-03,13550,6386,5824,1340
New York,2014-03-01,2014,03,2014-03,33819,9888,15774,8157
North Carolina,2014-03-01,2014,03,2014-03,541978,2715,16315,522948
North Dakota,2014-03-01,2014,03,2014-03,6329,2016,3545,768
Ohio,2014-03-01,2014,03,2014-03,59244,33878,22461,2905
Oklahoma,2014-03-01,2014,03,2014-03,30087,15269,13162,1656
Oregon,2014-03-01,2014,03,2014-03,24346,12411,11829,106
Pennsylvania,2014-03-01,2014,03,2014-03,93402,57940,10353,25109
Puerto Rico,2014-03-01,2014,03,2014-03,1431,1194,194,43
Rhode Island,2014-03-01,2014,03,2014-03,2208,1107,919,182
South Carolina,2014-03-01,2014,03,2014-03,28436,11004,7180,10252
South Dakota,2014-03-01,2014,03,2014-03,7538,2962,4294,282
Tennessee,2014-03-01,2014,03,2014-03,43344,19944,15014,8386
Texas,2014-03-01,2014,03,2014-03,130310,55204,44132,30974
Utah,2014-03-01,2014,03,2014-03,22924,3566,4272,15086
Vermont,2014-03-01,2014,03,2014-03,3305,1615,1564,126
Virgin Islands,2014-03-01,2014,03,2014-03,108,17,1,90
Virginia,2014-03-01,2014,03,2014-03,40700,23015,16781,904
Washington,2014-03-01,2014,03,2014-03,45491,17799,13426,14266
West Virginia,2014-03-01,2014,03,2014-03,20942,9433,9400,2109
Wisconsin,2014-03-01,2014,03,2014-03,37199,14897,15552,6750
Wyoming,2014-03-01,2014,03,2014-03,5699,2389,2584,726
Alabama,2014-02-01,2014,02,2014-02,63947,22940,17637,23370
Alaska,2014-02-01,2014,02,2014-02,6353,2951,2928,474
Arizona,2014-02-01,2014,02,2014-02,29657,15328,9461,4868
Arkansas,2014-02-01,2014,02,2014-02,24599,8901,10995,4703
California,2014-02-01,2014,02,2014-02,111341,39758,30388,41195
Colorado,2014-02-01,2014,02,2014-02,36936,17222,13049,6665
Connecticut,2014-02-01,2014,02,2014-02,29640,5246,11351,13043
Delaware,2014-02-01,2014,02,2014-02,3207,1668,1029,510
District of Columbia,2014-02-01,2014,02,2014-02,28,25,2,1
Florida,2014-02-01,2014,02,2014-02,100876,50003,27001,23872
Georgia,2014-02-01,2014,02,2014-02,50459,20250,14338,15871
Guam,2014-02-01,2014,02,2014-02,158,88,46,24
Hawaii,2014-02-01,2014,02,2014-02,1222,0,0,1222
Idaho,2014-02-01,2014,02,2014-02,11822,3788,5352,2682
Illinois,2014-02-01,2014,02,2014-02,115903,23448,13449,79006
Indiana,2014-02-01,2014,02,2014-02,51976,22976,15280,13720
Iowa,2014-02-01,2014,02,2014-02,13167,209,3106,9852
Kansas,2014-02-01,2014,02,2014-02,17798,8012,7207,2579
Kentucky,2014-02-01,2014,02,2014-02,259837,15944,14596,229297
Louisiana,2014-02-01,2014,02,2014-02,28120,14751,12204,1165
Maine,2014-02-01,2014,02,2014-02,7101,3375,3393,333
Mariana Islands,2014-02-01,2014,02,2014-02,1,0,1,0
Maryland,2014-02-01,2014,02,2014-02,18999,10239,5690,3070
Massachusetts,2014-02-01,2014,02,2014-02,16662,5472,2680,8510
Michigan,2014-02-01,2014,02,2014-02,35449,11895,10472,13082
Minnesota,2014-02-01,2014,02,2014-02,40503,9092,9755,21656
Mississippi,2014-02-01,2014,02,2014-02,21805,11077,9201,1527
Missouri,2014-02-01,2014,02,2014-02,48674,23313,19067,6294
Montana,2014-02-01,2014,02,2014-02,10352,3475,5467,1410
Nebraska,2014-02-01,2014,02,2014-02,6384,120,2299,3965
Nevada,2014-02-01,2014,02,2014-02,11879,5540,3545,2794
New Hampshire,2014-02-01,2014,02,2014-02,10204,4270,3110,2824
New Jersey,2014-02-01,2014,02,2014-02,7762,4327,3290,145
New Mexico,2014-02-01,2014,02,2014-02,13859,6634,6018,1207
New York,2014-02-01,2014,02,2014-02,27317,8675,13710,4932
North Carolina,2014-02-01,2014,02,2014-02,224667,4213,19701,200753
North Dakota,2014-02-01,2014,02,2014-02,6472,1985,3030,1457
Ohio,2014-02-01,2014,02,2014-02,59527,34906,21536,3085
Oklahoma,2014-02-01,2014,02,2014-02,33901,17629,14319,1953
Oregon,2014-02-01,2014,02,2014-02,23197,12334,10825,38
Pennsylvania,2014-02-01,2014,02,2014-02,76916,47512,10232,19172
Puerto Rico,2014-02-01,2014,02,2014-02,1386,1156,182,48
Rhode Island,2014-02-01,2014,02,2014-02,1897,1003,722,172
South Carolina,2014-02-01,2014,02,2014-02,28440,13205,7832,7403
South Dakota,2014-02-01,2014,02,2014-02,7897,3172,4411,314
Tennessee,2014-02-01,2014,02,2014-02,55684,25694,17965,12025
Texas,2014-02-01,2014,02,2014-02,147793,65096,50215,32482
Utah,2014-02-01,2014,02,2014-02,21548,3977,4481,13090
Vermont,2014-02-01,2014,02,2014-02,3132,1663,1339,130
Virgin Islands,2014-02-01,2014,02,2014-02,108,17,3,88
Virginia,2014-02-01,2014,02,2014-02,42073,24248,16694,1131
Washington,2014-02-01,2014,02,2014-02,44399,17654,13816,12929
West Virginia,2014-02-01,2014,02,2014-02,23569,10262,11257,2050
Wisconsin,2014-02-01,2014,02,2014-02,31698,14040,12230,5428
Wyoming,2014-02-01,2014,02,2014-02,5677,2390,2575,712
Alabama,2014-01-01,2014,01,2014-01,52138,14339,14747,23052
Alaska,2014-01-01,2014,01,2014-01,4951,2144,2306,501
Arizona,2014-01-01,2014,01,2014-01,24458,11201,7873,5384
Arkansas,2014-01-01,2014,01,2014-01,17158,5256,7194,4708
California,2014-01-01,2014,01,2014-01,100054,34252,27997,37805
Colorado,2014-01-01,2014,01,2014-01,33328,14089,11504,7735
Connecticut,2014-01-01,2014,01,2014-01,28542,5330,6693,16519
Delaware,2014-01-01,2014,01,2014-01,2486,1332,954,200
District of Columbia,2014-01-01,2014,01,2014-01,52,48,3,1
Florida,2014-01-01,2014,01,2014-01,82342,39475,23479,19388
Georgia,2014-01-01,2014,01,2014-01,36627,11519,10154,14954
Guam,2014-01-01,2014,01,2014-01,173,91,52,30
Hawaii,2014-01-01,2014,01,2014-01,1337,0,0,1337
Idaho,2014-01-01,2014,01,2014-01,8532,2589,3763,2180
Illinois,2014-01-01,2014,01,2014-01,121288,20164,11190,89934
Indiana,2014-01-01,2014,01,2014-01,38520,14857,10903,12760
Iowa,2014-01-01,2014,01,2014-01,13003,215,2494,10294
Kansas,2014-01-01,2014,01,2014-01,14248,5649,6343,2256
Kentucky,2014-01-01,2014,01,2014-01,258471,8595,8593,241283
Louisiana,2014-01-01,2014,01,2014-01,22584,10358,11313,913
Maine,2014-01-01,2014,01,2014-01,5673,2588,2824,261
Mariana Islands,2014-01-01,2014,01,2014-01,0,0,0,0
Maryland,2014-01-01,2014,01,2014-01,21715,13547,5002,3166
Massachusetts,2014-01-01,2014,01,2014-01,17908,5376,2730,9802
Michigan,2014-01-01,2014,01,2014-01,29623,7393,7712,14518
Minnesota,2014-01-01,2014,01,2014-01,34528,7680,7539,19309
Mississippi,2014-01-01,2014,01,2014-01,14902,6431,7351,1120
Missouri,2014-01-01,2014,01,2014-01,36903,17178,14159,5566
Montana,2014-01-01,2014,01,2014-01,8273,2757,4217,1299
Nebraska,2014-01-01,2014,01,2014-01,6115,102,2051,3962
Nevada,2014-01-01,2014,01,2014-01,9387,3987,2922,2478
New Hampshire,2014-01-01,2014,01,2014-01,9884,3767,2838,3279
New Jersey,2014-01-01,2014,01,2014-01,7954,4461,3337,156
New Mexico,2014-01-01,2014,01,2014-01,10183,4758,4545,880
New York,2014-01-01,2014,01,2014-01,25551,8470,12039,5042
North Carolina,2014-01-01,2014,01,2014-01,41804,2545,13930,25329
North Dakota,2014-01-01,2014,01,2014-01,5594,1497,2744,1353
Ohio,2014-01-01,2014,01,2014-01,40864,22859,15772,2233
Oklahoma,2014-01-01,2014,01,2014-01,26608,13033,12049,1526
Oregon,2014-01-01,2014,01,2014-01,19504,10184,9273,47
Pennsylvania,2014-01-01,2014,01,2014-01,69963,207,48368,21388
Puerto Rico,2014-01-01,2014,01,2014-01,1400,1139,215,46
Rhode Island,2014-01-01,2014,01,2014-01,1646,807,677,162
South Carolina,2014-01-01,2014,01,2014-01,22356,8251,6116,7989
South Dakota,2014-01-01,2014,01,2014-01,6101,2399,3482,220
Tennessee,2014-01-01,2014,01,2014-01,45597,17208,13754,14635
Texas,2014-01-01,2014,01,2014-01,130524,44793,41736,43995
Utah,2014-01-01,2014,01,2014-01,21908,2811,3449,15648
Vermont,2014-01-01,2014,01,2014-01,2138,972,1068,98
Virgin Islands,2014-01-01,2014,01,2014-01,131,18,2,111
Virginia,2014-01-01,2014,01,2014-01,31647,16759,14172,716
Washington,2014-01-01,2014,01,2014-01,40612,15220,11745,13647
West Virginia,2014-01-01,2014,01,2014-01,15350,6697,7308,1345
Wisconsin,2014-01-01,2014,01,2014-01,23568,9827,8738,5003
Wyoming,2014-01-01,2014,01,2014-01,4359,1647,2038,674
Alabama,2013-12-01,2013,12,2013-12,77374,22055,32581,22738
Alaska,2013-12-01,2013,12,2013-12,7951,3179,4217,555
Arizona,2013-12-01,2013,12,2013-12,32374,14251,13431,4692
Arkansas,2013-12-01,2013,12,2013-12,25583,7144,15167,3272
California,2013-12-01,2013,12,2013-12,138522,34731,70934,32857
Colorado,2013-12-01,2013,12,2013-12,43268,18261,20077,4930
Connecticut,2013-12-01,2013,12,2013-12,21633,5120,4206,12307
Delaware,2013-12-01,2013,12,2013-12,3752,1624,1880,248
District of Columbia,2013-12-01,2013,12,2013-12,35,32,3,0
Florida,2013-12-01,2013,12,2013-12,102760,46528,39836,16396
Georgia,2013-12-01,2013,12,2013-12,55863,17650,24778,13435
Guam,2013-12-01,2013,12,2013-12,141,71,49,21
Hawaii,2013-12-01,2013,12,2013-12,1401,0,0,1401
Idaho,2013-12-01,2013,12,2013-12,13971,3967,7428,2576
Illinois,2013-12-01,2013,12,2013-12,91077,23671,19326,48080
Indiana,2013-12-01,2013,12,2013-12,53359,20174,22002,11183
Iowa,2013-12-01,2013,12,2013-12,12638,219,5777,6642
Kansas,2013-12-01,2013,12,2013-12,21426,7208,11725,2493
Kentucky,2013-12-01,2013,12,2013-12,231210,12966,19611,198633
Louisiana,2013-12-01,2013,12,2013-12,42824,14958,26624,1242
Maine,2013-12-01,2013,12,2013-12,7812,2878,4674,260
Mariana Islands,2013-12-01,2013,12,2013-12,2,0,2,0
Maryland,2013-12-01,2013,12,2013-12,21256,10340,8222,2694
Massachusetts,2013-12-01,2013,12,2013-12,16407,5007,3084,8316
Michigan,2013-12-01,2013,12,2013-12,37647,9894,16378,11375
Minnesota,2013-12-01,2013,12,2013-12,38679,8365,13113,17201
Mississippi,2013-12-01,2013,12,2013-12,29367,9299,18790,1278
Missouri,2013-12-01,2013,12,2013-12,51223,20882,25340,5001
Montana,2013-12-01,2013,12,2013-12,11763,3675,7085,1003
Nebraska,2013-12-01,2013,12,2013-12,8665,163,4508,3994
Nevada,2013-12-01,2013,12,2013-12,12897,5387,5017,2493
New Hampshire,2013-12-01,2013,12,2013-12,10993,4474,3997,2522
New Jersey,2013-12-01,2013,12,2013-12,9118,4332,4632,154
New Mexico,2013-12-01,2013,12,2013-12,14896,6230,7432,1234
New York,2013-12-01,2013,12,2013-12,32657,8110,20870,3677
North Carolina,2013-12-01,2013,12,2013-12,59061,2856,31275,24930
North Dakota,2013-12-01,2013,12,2013-12,6949,1882,4419,648
Ohio,2013-12-01,2013,12,2013-12,67301,32964,31733,2604
Oklahoma,2013-12-01,2013,12,2013-12,39176,16046,21291,1839
Oregon,2013-12-01,2013,12,2013-12,26573,12103,14426,44
Pennsylvania,2013-12-01,2013,12,2013-12,87441,21,68271,19149
Puerto Rico,2013-12-01,2013,12,2013-12,1305,1034,218,53
Rhode Island,2013-12-01,2013,12,2013-12,1969,846,907,216
South Carolina,2013-12-01,2013,12,2013-12,31309,11230,14411,5668
South Dakota,2013-12-01,2013,12,2013-12,9118,2840,5997,281
Tennessee,2013-12-01,2013,12,2013-12,64784,24107,29742,10935
Texas,2013-12-01,2013,12,2013-12,166074,61786,83147,21141
Utah,2013-12-01,2013,12,2013-12,24978,4698,8255,12025
Vermont,2013-12-01,2013,12,2013-12,2873,1140,1629,104
Virgin Islands,2013-12-01,2013,12,2013-12,94,32,3,59
Virginia,2013-12-01,2013,12,2013-12,51344,22960,27395,989
Washington,2013-12-01,2013,12,2013-12,46998,18209,17376,11413
West Virginia,2013-12-01,2013,12,2013-12,26265,9889,15041,1335
Wisconsin,2013-12-01,2013,12,2013-12,31714,12544,14693,4477
Wyoming,2013-12-01,2013,12,2013-12,6885,2563,3551,771
Alabama,2013-11-01,2013,11,2013-11,59213,16928,25554,16731
Alaska,2013-11-01,2013,11,2013-11,6868,2620,3644,604
Arizona,2013-11-01,2013,11,2013-11,26839,11344,10852,4643
Arkansas,2013-11-01,2013,11,2013-11,24393,5614,15340,3439
California,2013-11-01,2013,11,2013-11,109140,31598,44028,33514
Colorado,2013-11-01,2013,11,2013-11,37908,15843,16431,5634
Connecticut,2013-11-01,2013,11,2013-11,22530,4856,3780,13894
Delaware,2013-11-01,2013,11,2013-11,3354,1342,1813,199
District of Columbia,2013-11-01,2013,11,2013-11,35,29,5,1
Florida,2013-11-01,2013,11,2013-11,86342,39737,31805,14800
Georgia,2013-11-01,2013,11,2013-11,43059,12995,18814,11250
Guam,2013-11-01,2013,11,2013-11,103,55,33,15
Hawaii,2013-11-01,2013,11,2013-11,1103,0,0,1103
Idaho,2013-11-01,2013,11,2013-11,10703,2870,5898,1935
Illinois,2013-11-01,2013,11,2013-11,90868,20356,18330,52182
Indiana,2013-11-01,2013,11,2013-11,51526,17100,21913,12513
Iowa,2013-11-01,2013,11,2013-11,12076,198,5355,6523
Kansas,2013-11-01,2013,11,2013-11,18670,6001,10723,1946
Kentucky,2013-11-01,2013,11,2013-11,208696,9796,18709,180191
Louisiana,2013-11-01,2013,11,2013-11,33765,10955,21774,1036
Maine,2013-11-01,2013,11,2013-11,8004,2451,5306,247
Mariana Islands,2013-11-01,2013,11,2013-11,5,0,5,0
Maryland,2013-11-01,2013,11,2013-11,18413,7478,8557,2378
Massachusetts,2013-11-01,2013,11,2013-11,18506,4920,3584,10002
Michigan,2013-11-01,2013,11,2013-11,39996,8504,18831,12661
Minnesota,2013-11-01,2013,11,2013-11,38292,7673,15388,15231
Mississippi,2013-11-01,2013,11,2013-11,25301,7104,17053,1144
Missouri,2013-11-01,2013,11,2013-11,47444,16697,25996,4751
Montana,2013-11-01,2013,11,2013-11,10548,2926,6604,1018
Nebraska,2013-11-01,2013,11,2013-11,6868,107,3802,2959
Nevada,2013-11-01,2013,11,2013-11,10503,4470,4128,1905
New Hampshire,2013-11-01,2013,11,2013-11,10397,3899,3943,2555
New Jersey,2013-11-01,2013,11,2013-11,10031,4849,5050,132
New Mexico,2013-11-01,2013,11,2013-11,12642,5053,6417,1172
New York,2013-11-01,2013,11,2013-11,32643,7378,22399,2866
North Carolina,2013-11-01,2013,11,2013-11,50272,2742,25347,22183
North Dakota,2013-11-01,2013,11,2013-11,7692,1572,4682,1438
Ohio,2013-11-01,2013,11,2013-11,61911,27991,31611,2309
Oklahoma,2013-11-01,2013,11,2013-11,35876,14278,19896,1702
Oregon,2013-11-01,2013,11,2013-11,22895,10276,12558,61
Pennsylvania,2013-11-01,2013,11,2013-11,88985,25,70428,18532
Puerto Rico,2013-11-01,2013,11,2013-11,1488,1219,235,34
Rhode Island,2013-11-01,2013,11,2013-11,1925,870,911,144
South Carolina,2013-11-01,2013,11,2013-11,25922,8857,11608,5457
South Dakota,2013-11-01,2013,11,2013-11,8416,2214,5973,229
Tennessee,2013-11-01,2013,11,2013-11,53278,19267,24267,9744
Texas,2013-11-01,2013,11,2013-11,133911,49197,64252,20462
Utah,2013-11-01,2013,11,2013-11,21492,3372,6387,11733
Vermont,2013-11-01,2013,11,2013-11,3007,999,1906,102
Virgin Islands,2013-11-01,2013,11,2013-11,86,12,0,74
Virginia,2013-11-01,2013,11,2013-11,44918,19170,24822,926
Washington,2013-11-01,2013,11,2013-11,40784,14768,15746,10270
West Virginia,2013-11-01,2013,11,2013-11,24919,7138,16740,1041
Wisconsin,2013-11-01,2013,11,2013-11,35704,11031,19293,5380
Wyoming,2013-11-01,2013,11,2013-11,5494,1962,3014,518
Alabama,2013-10-01,2013,10,2013-10,51520,14434,17764,19322
Alaska,2013-10-01,2013,10,2013-10,8322,3331,4314,677
Arizona,2013-10-01,2013,10,2013-10,24148,10039,8650,5459
Arkansas,2013-10-01,2013,10,2013-10,19661,5008,11516,3137
California,2013-10-01,2013,10,2013-10,114595,31129,38183,45283
Colorado,2013-10-01,2013,10,2013-10,34371,13349,14111,6911
Connecticut,2013-10-01,2013,10,2013-10,20189,4324,3224,12641
Delaware,2013-10-01,2013,10,2013-10,2989,1341,1333,315
District of Columbia,2013-10-01,2013,10,2013-10,37,35,1,1
Florida,2013-10-01,2013,10,2013-10,79284,36177,24486,18621
Georgia,2013-10-01,2013,10,2013-10,38032,11217,14718,12097
Guam,2013-10-01,2013,10,2013-10,127,67,51,9
Hawaii,2013-10-01,2013,10,2013-10,1325,0,0,1325
Idaho,2013-10-01,2013,10,2013-10,10694,2517,5844,2333
Illinois,2013-10-01,2013,10,2013-10,101416,17090,14128,70198
Indiana,2013-10-01,2013,10,2013-10,43650,14677,15291,13682
Iowa,2013-10-01,2013,10,2013-10,11717,212,3815,7690
Kansas,2013-10-01,2013,10,2013-10,15038,5490,7592,1956
Kentucky,2013-10-01,2013,10,2013-10,204305,8639,12913,182753
Louisiana,2013-10-01,2013,10,2013-10,28194,10040,17195,959
Maine,2013-10-01,2013,10,2013-10,9707,2780,6661,266
Mariana Islands,2013-10-01,2013,10,2013-10,2,0,2,0
Maryland,2013-10-01,2013,10,2013-10,20526,13453,6182,891
Massachusetts,2013-10-01,2013,10,2013-10,19891,4847,3210,11834
Michigan,2013-10-01,2013,10,2013-10,40320,8039,14515,17766
Minnesota,2013-10-01,2013,10,2013-10,43178,7972,18097,17109
Mississippi,2013-10-01,2013,10,2013-10,18028,6738,10156,1134
Missouri,2013-10-01,2013,10,2013-10,42480,16397,20807,5276
Montana,2013-10-01,2013,10,2013-10,12038,2861,7751,1426
Nebraska,2013-10-01,2013,10,2013-10,6517,82,2911,3524
Nevada,2013-10-01,2013,10,2013-10,9800,4212,3434,2154
New Hampshire,2013-10-01,2013,10,2013-10,11318,3880,4006,3432
New Jersey,2013-10-01,2013,10,2013-10,9341,5067,4084,190
New Mexico,2013-10-01,2013,10,2013-10,12018,5105,5600,1313
New York,2013-10-01,2013,10,2013-10,30402,7996,19515,2891
North Carolina,2013-10-01,2013,10,2013-10,40850,2704,19005,19141
North Dakota,2013-10-01,2013,10,2013-10,8511,1467,5654,1390
Ohio,2013-10-01,2013,10,2013-10,48416,24597,21874,1945
Oklahoma,2013-10-01,2013,10,2013-10,27268,11712,14193,1363
Oregon,2013-10-01,2013,10,2013-10,19484,9127,10336,21
Pennsylvania,2013-10-01,2013,10,2013-10,79205,16,58745,20444
Puerto Rico,2013-10-01,2013,10,2013-10,1491,1168,275,48
Rhode Island,2013-10-01,2013,10,2013-10,1862,866,841,155
South Carolina,2013-10-01,2013,10,2013-10,21704,7353,8210,6141
South Dakota,2013-10-01,2013,10,2013-10,8534,1973,6372,189
Tennessee,2013-10-01,2013,10,2013-10,42522,15858,16070,10594
Texas,2013-10-01,2013,10,2013-10,124834,42946,51149,30739
Utah,2013-10-01,2013,10,2013-10,17812,2579,4397,10836
Vermont,2013-10-01,2013,10,2013-10,2951,1041,1820,90
Virgin Islands,2013-10-01,2013,10,2013-10,96,22,1,73
Virginia,2013-10-01,2013,10,2013-10,36623,17306,18458,859
Washington,2013-10-01,2013,10,2013-10,41311,15009,14603,11699
West Virginia,2013-10-01,2013,10,2013-10,19865,6857,12034,974
Wisconsin,2013-10-01,2013,10,2013-10,35951,11888,17538,6525
Wyoming,2013-10-01,2013,10,2013-10,4629,1609,2504,516
Alabama,2013-09-01,2013,09,2013-09,46263,13258,15097,17908
Alaska,2013-09-01,2013,09,2013-09,6047,2335,3250,462
Arizona,2013-09-01,2013,09,2013-09,22904,9692,8330,4882
Arkansas,2013-09-01,2013,09,2013-09,16195,4784,8530,2881
California,2013-09-01,2013,09,2013-09,104067,27829,39419,36819
Colorado,2013-09-01,2013,09,2013-09,31620,12799,12753,6068
Connecticut,2013-09-01,2013,09,2013-09,21666,4649,3859,13158
Delaware,2013-09-01,2013,09,2013-09,2515,1113,1081,321
District of Columbia,2013-09-01,2013,09,2013-09,36,33,3,0
Florida,2013-09-01,2013,09,2013-09,73216,33855,21849,17512
Georgia,2013-09-01,2013,09,2013-09,32309,10011,10932,11366
Guam,2013-09-01,2013,09,2013-09,98,53,29,16
Hawaii,2013-09-01,2013,09,2013-09,1196,0,0,1196
Idaho,2013-09-01,2013,09,2013-09,10165,2483,5396,2286
Illinois,2013-09-01,2013,09,2013-09,67839,14147,12860,40832
Indiana,2013-09-01,2013,09,2013-09,40129,12963,13578,13588
Iowa,2013-09-01,2013,09,2013-09,10873,155,3269,7449
Kansas,2013-09-01,2013,09,2013-09,13318,4473,6487,2358
Kentucky,2013-09-01,2013,09,2013-09,54426,7896,10063,36467
Louisiana,2013-09-01,2013,09,2013-09,29508,11171,17271,1066
