state,d_month,year,month_only,month,totals,handguns_total,long_guns_total,other_total
Mississippi,2017-08-01,2017,08,2017-08,21963,10587,8852,2524
Missouri,2017-08-01,2017,08,2017-08,37449,19111,15167,3171
Montana,2017-08-01,2017,08,2017-08,9618,3090,4936,1592
Nebraska,2017-08-01,2017,08,2017-08,5209,126,1756,3327
Nevada,2017-08-01,2017,08,2017-08,9035,4385,2391,2259
New Hampshire,2017-08-01,2017,08,2017-08,9313,4214,2906,2193
New Jersey,2017-08-01,2017,08,2017-08,7443,4238,3038,167
New Mexico,2017-08-01,2017,08,2017-08,11690,5518,4259,1913
New York,2017-08-01,2017,08,2017-08,28779,9586,13575,5618
North Carolina,2017-08-01,2017,08,2017-08,41122,3275,13943,23904
North Dakota,2017-08-01,2017,08,2017-08,4874,1571,2695,608
Ohio,2017-08-01,2017,08,2017-08,51103,22808,15185,13110
Oklahoma,2017-08-01,2017,08,2017-08,24061,11598,10691,1772
Oregon,2017-08-01,2017,08,2017-08,24904,11865,9021,4018
Pennsylvania,2017-08-01,2017,08,2017-08,79020,41161,13279,24580
Puerto Rico,2017-08-01,2017,08,2017-08,1490,1178,234,78
Rhode Island,2017-08-01,2017,08,2017-08,1718,892,603,223
South Carolina,2017-08-01,2017,08,2017-08,31663,9416,7138,15109
South Dakota,2017-08-01,2017,08,2017-08,6686,2219,3437,1030
Tennessee,2017-08-01,2017,08,2017-08,49945,19996,14208,15741
Texas,2017-08-01,2017,08,2017-08,110946,44096,39278,27572
Utah,2017-08-01,2017,08,2017-08,22010,3202,3554,15254
Vermont,2017-08-01,2017,08,2017-08,2676,1233,1260,183
Virgin Islands,2017-08-01,2017,08,2017-08,132,47,4,81
Virginia,2017-08-01,2017,08,2017-08,39114,20804,14929,3381
Washington,2017-08-01,2017,08,2017-08,42120,16243,11558,14319
West Virginia,2017-08-01,2017,08,2017-08,14770,6195,5958,2617
Wisconsin,2017-08-01,2017,08,2017-08,40924,12963,14624,13337
Wyoming,2017-08-01,2017,08,2017-08,4111,1577,1961,573
Alabama,2017-07-01,2017,07,2017-07,31474,7175,5774,18525
Alaska,2017-07-01,2017,07,2017-07,6487,3162,2670,655
Arizona,2017-07-01,2017,07,2017-07,25714,11526,6911,7277
Arkansas,2017-07-01,2017,07,2017-07,14015,5370,5021,3624
California,2017-07-01,2017,07,2017-07,114595,37420,22043,55132
