Unnamed: 0,state,pop_16,pop_10,pop_chg,foreign_born_pct,owner-occ_housing,med_gross_rent,med_hh_income,no_health_ins,women-owned_firms,min-owned_firms,all_firms,women-owned_prop,min-owned_prop,politics,handguns_total,long_guns_total,other_total,totals,total_NICS_pc,handguns_pc,long_guns_pc,other_pc
19.0,Maryland,6016447.0,5773786.0,0.042,0.145,0.6679999999999999,1230.0,74551.0,0.07,209119.0,203394.0,531953.0,0.3931155572014821,0.3823533282075672,Blue,62306.0,81580.0,62904.0,1016754,0.16899575447103582,0.01035594595946744,0.013559497823216925,0.010455340170037233
20.0,Massachusetts,6811779.0,6547813.0,0.04,0.155,0.621,1102.0,68563.0,0.029,199210.0,89967.0,607664.0,0.3278291950814924,0.14805385871139315,Blue,83064.0,43227.0,176445.0,1342303,0.197056158163675,0.012194171302386645,0.006345919325920586,0.025902924918732684
21.0,Michigan,9928300.0,9884129.0,0.004,0.063,0.71,783.0,49576.0,0.063,306986.0,158946.0,834087.0,0.3680503352767757,0.1905628549539796,Swing,169403.0,151513.0,432803.0,3164689,0.31875436882447145,0.017062639122508386,0.015260719357795393,0.0435928608120222
22.0,Minnesota,5519952.0,5303924.0,0.041,0.077,0.7170000000000001,848.0,61492.0,0.048,157821.0,47302.0,489494.0,0.3224166179769313,0.0966344837730391,Blue,136698.0,170321.0,692738.0,3485567,0.631448787960475,0.0247643457769198,0.030855521932074772,0.12549710577193424
23.0,Mississippi,2988726.0,2968103.0,0.006999999999999999,0.023,0.684,717.0,39665.0,0.139,89159.0,74824.0,235454.0,0.3786684447917639,0.3177860643692611,Red,142990.0,121271.0,52091.0,1551485,0.5191124914093831,0.047843127807634424,0.040576151845301306,0.017429165470504823
24.0,Missouri,6093000.0,5988928.0,0.017,0.039,0.672,746.0,48173.0,0.105,162616.0,61035.0,491606.0,0.33078522231217683,0.12415430242918107,Red,317161.0,247810.0,135209.0,3571539,0.5861708517971442,0.052053339898243886,0.040671262104053835,0.0221908747743312
25.0,Montana,1042520.0,989414.0,0.054000000000000006,0.021,0.672,711.0,47169.0,0.098,35449.0,5578.0,112419.0,0.31532925928891026,0.04961794714416602,Red,46610.0,74819.0,40309.0,855316,0.8204312627095883,0.044708974408164834,0.07176744810651114,0.03866496566013122
26.0,Nebraska,1907116.0,1826334.0,0.044,0.066,0.662,726.0,52997.0,0.099,51936.0,14571.0,164089.0,0.31651116162570314,0.08879937107301525,Red,2179.0,29777.0,84791.0,530363,0.2780968750720984,0.001142562906503852,0.015613628117010187,0.04446032648250028
27.0,Nevada,2940058.0,2700691.0,0.08900000000000001,0.192,0.551,973.0,51847.0,0.131,82508.0,71864.0,227156.0,0.36322175069115503,0.3163640845938474,Swing,73806.0,42314.0,60618.0,897936,0.3054143829815602,0.025103586391833087,0.014392233078395052,0.020617960598056227
28.0,New Hampshire,1334795.0,1316461.0,0.014,0.057,0.71,1000.0,66779.0,0.071,38525.0,6111.0,131638.0,0.2926586547957277,0.04642276546286027,Blue,76235.0,47197.0,66457.0,888602,0.6657217025835428,0.057113639173056535,0.03535898770972322,0.049788169718945605
