,state,pop_16,pop_10,pop_chg,foreign_born_pct,owner-occ_housing,med_gross_rent,med_hh_income,no_health_ins,women-owned_firms,min-owned_firms,all_firms,women-owned_prop,min-owned_prop
32,North Carolina,10146788.0,9535688.0,0.00064,0.00077,0.006509999999999999,797.0,46868.0,0.00122,287058.0,183380.0,805985.0,0.3561579930147583,0.2275228447179538
33,North Dakota,757952.0,672591.0,0.00127,0.00032,0.006409999999999999,709.0,57181.0,0.0008100000000000001,20316.0,3190.0,68270.0,0.29758312582393437,0.04672623407060202
34,Ohio,11614373.0,11536727.0,7e-05,0.00040999999999999994,0.00663,730.0,49429.0,0.00066,306824.0,122653.0,904814.0,0.3391017380367678,0.1355560369313472
35,Oklahoma,3923561.0,3751615.0,0.00046,0.00058,0.0066099999999999996,727.0,46879.0,0.00161,105168.0,64875.0,327229.0,0.32138960788927634,0.19825565582512553
36,Oregon,4093465.0,3831072.0,0.00068,0.00099,0.00613,907.0,51243.0,0.00073,123015.0,41456.0,339305.0,0.3625499182151751,0.12217916034246475
37,Pennsylvania,12784227.0,12702857.0,6e-05,0.00063,0.006920000000000001,840.0,53599.0,0.00067,304803.0,131512.0,975453.0,0.31247328164452826,0.1348214624384773
38,Rhode Island,1056426.0,1052940.0,3e-05,0.00133,0.00601,925.0,56852.0,0.0005099999999999999,30484.0,14737.0,94642.0,0.32209801145368866,0.1557131083451322
39,South Carolina,4961119.0,4625410.0,0.00073,0.00048,0.00686,790.0,45483.0,0.00119,131856.0,83233.0,367726.0,0.35857132756454535,0.22634515916742357
40,South Dakota,865454.0,814195.0,0.00063,0.0003,0.006809999999999999,655.0,50957.0,0.00103,23722.0,4101.0,81314.0,0.2917332808618442,0.05043411958580318
41,Tennessee,6651194.0,6346298.0,0.00048,0.00048,0.006679999999999999,764.0,45219.0,0.00106,195694.0,105234.0,550453.0,0.35551445809178983,0.19117708505539982
42,Texas,27862596.0,25146100.0,0.10800000000000001,0.166,0.622,882.0,53207.0,0.18600000000000003,866678.0,1070392.0,2356748.0,0.3677431783118093,0.4541817792992717
43,Utah,3051217.0,2763888.0,0.10400000000000001,0.084,0.695,887.0,60727.0,0.09699999999999999,76269.0,24423.0,251419.0,0.3033541617777495,0.09714062978533843
44,Vermont,624594.0,625741.0,-0.002,0.043,0.71,895.0,55176.0,0.045,23417.0,2354.0,75827.0,0.30882139607263903,0.031044350956783203
45,Virginia,8411808.0,8001041.0,0.051,0.11699999999999999,0.662,1116.0,65015.0,0.10099999999999999,236290.0,185043.0,653193.0,0.3617460689260295,0.2832899311535794
46,Washington,7288000.0,6724545.0,0.084,0.134,0.625,1014.0,61062.0,0.069,187677.0,92807.0,541522.0,0.34657317708237156,0.17138177211636832
47,West Virginia,1831102.0,1853011.0,-0.012,0.015,0.725,643.0,41751.0,0.065,39065.0,5777.0,114435.0,0.34137283173854155,0.050482806833573646
48,Wisconsin,5778708.0,5687289.0,0.016,0.048,0.6729999999999999,776.0,53357.0,0.062,133859.0,40507.0,432980.0,0.3091574668575916,0.09355397477943554
49,Wyoming,585501.0,563767.0,0.039,0.036000000000000004,0.691,789.0,58840.0,0.134,19344.0,4077.0,62427.0,0.3098659233985295,0.06530828007112308
